date,open,high,low,close,volume,return,ret_1d,ret_5d,ret_10d,ret_20d,ma_5,ma_ratio_5,ma_10,ma_ratio_10,ma_20,ma_ratio_20,ma_60,ma_ratio_60,volatility_10,volatility_20,volatility_60,rsi,bb_mid,bb_upper,bb_lower,bb_position,atr,atr_ratio,momentum_10,momentum_20,momentum_60,volume_ma_5,volume_ratio,volume_change
2019-12-16,5048.8,5127.2,5041.2,5118.6,98161.0,0.0135038808807224,0.013503880880722408,0.028120355119913176,0.05638337392165771,0.06398104265402837,5029.08,0.017800472452218052,4973.4,0.029195319097599315,4906.679999999999,0.04319010002690238,4919.993333333334,0.04036726337027563,0.007261545387675274,0.008117079230204627,0.00977618808318418,86.69467787114863,4906.679999999999,5085.616761543228,4727.743238456771,1.092164511563501,62.28571428571422,0.01216850589725984,0.05638337392165771,0.06398104265402837,-0.011967725746052538,90069.0,1.0898422320665269,-0.028609032973122783
2019-12-17,5122.4,5234.4,5115.8,5204.6,115982.0,0.016801469151721,0.016801469151721093,0.03826204915416542,0.0677416707697358,0.06242345064097332,5067.4400000000005,0.027066921364633734,5006.42,0.0395851726383325,4921.97,0.05742212975698746,4922.286666666667,0.057354102361639514,0.008095567090075403,0.007976212825400477,0.009590957676904344,88.3004926108376,4921.97,5144.9195019529125,4699.020498047088,1.1338430844750051,65.11428571428561,0.012510910677916768,0.0677416707697358,0.06242345064097332,0.027156108150779623,95678.2,1.2122092597895864,0.18154868022941906
2019-12-18,5214.8,5255.0,5188.2,5215.4,111010.0,0.0020750874226644,0.00207508742266449,0.04546365713827516,0.0731275720164608,0.07427700420202665,5112.8,0.020067282115474816,5041.960000000001,0.03439932089901521,4940.0,0.055748987854250975,4924.81,0.059005322032728014,0.007575190560359221,0.007464230381443596,0.009592028944418827,89.4160583941606,4940.0,5195.957858373516,4684.042141626484,1.0379791848354045,66.95714285714277,0.012838352352100084,0.0731275720164608,0.07427700420202665,0.029897314375987305,100753.4,1.10179904598753,-0.04286872100843231
2019-12-19,5212.8,5232.8,5189.2,5222.0,94988.0,0.0012654829926757,0.0012654829926757039,0.049648241206030175,0.0637604400081484,0.0721471687266455,5162.2,0.01158420828329021,5073.26,0.029318426416150567,4957.57,0.053338631627995126,4926.716666666666,0.059935115678799056,0.007702619421893785,0.007482517250465074,0.009533942614017792,89.45880452342492,4957.57,5240.31111722284,4674.828882777159,0.9676185809076926,64.98571428571424,0.0124446025058817,0.0637604400081484,0.0721471687266455,0.02239799514449059,104238.6,0.9112555233857706,-0.1443293396991262
2019-12-20,5235.8,5243.2,5175.0,5183.6,108966.0,-0.0073535044044427,-0.007353504404442712,0.02637414858229059,0.04369186163572669,0.07794044252204291,5188.84,-0.001009859621803666,5094.96,0.01739758506445588,4976.3099999999995,0.04165536311041729,4928.12,0.05184127009894257,0.008509066027043483,0.006950642658038414,0.00958333064686441,82.55679630342712,4976.3099999999995,5267.102151490406,4685.517848509593,0.8564229621356194,66.14285714285708,0.012760023370409962,0.04369186163572669,0.07794044252204291,0.016511746479978218,105821.4,1.0297161065720166,0.1471554301595992
2019-12-23,5161.4,5184.6,5029.4,5031.2,110785.0,-0.0294004166988194,-0.02940041669881943,-0.01707498144023767,0.010565219137910198,0.042130991341811974,5171.360000000001,-0.02710312180935015,5100.219999999999,-0.013532749567665592,4986.48,0.008968250148401413,4927.1466666666665,0.021118375476272933,0.013677728434590622,0.01016541604969808,0.010320433401772295,62.196639701306786,4986.48,5269.527130908949,4703.43286909105,0.5789974444474862,71.91428571428567,0.014293664675283367,0.010565219137910198,0.042130991341811974,-0.011474379126061085,108346.2,1.0225093265845964,0.016693280472807936
2019-12-24,5048.4,5118.2,5043.8,5099.4,79412.0,0.0135554142152964,0.01355541421529649,-0.02021288859854753,0.017275774018512546,0.06144623454477327,5150.32,-0.009886764317556973,5108.88,-0.0018555926152112878,5001.24,0.019627132471147224,4927.543333333334,0.03487674385410422,0.014144561335705547,0.010331883668058333,0.010464206957446678,67.1834625322997,5001.24,5274.89643000706,4727.583569992939,0.6793489741817272,74.8714285714285,0.014682399610038142,0.017275774018512546,0.06144623454477327,0.004689100795964851,101032.2,0.7860068374241084,-0.2831881572415038
2019-12-25,5105.6,5147.4,5083.4,5132.6,93426.0,0.0065105698709653,0.0065105698709653215,-0.01587605936265657,0.028865814056047823,0.062342178250610836,5133.76,-0.00022595524527824207,5123.28,0.0018191471088835343,5016.3,0.02318441879472921,4929.8099999999995,0.04113545958160669,0.014007593180081514,0.01034496813800217,0.010289583157561705,66.42185663924795,5016.3,5283.68145430314,4748.918545696861,0.7174795561328403,74.69999999999995,0.01455402719869071,0.028865814056047823,0.062342178250610836,0.027218508585838297,97515.4,0.958064059625454,0.17647206971238605
2019-12-26,5137.8,5168.2,5099.8,5167.0,91280.0,0.0067022561664653,0.006702256166465359,-0.01053236307927996,0.03859296482412056,0.07052583599220985,5122.76,0.008635969672598387,5142.48,0.0047681274404567375,5033.32,0.026559010752346346,4934.1866666666665,0.04718373038177193,0.013900825098056757,0.010328606232515507,0.01001302642342835,65.23722627737223,5033.32,5293.085802214222,4773.554197785777,0.7573086966423659,74.61428571428561,0.014440543006441962,0.03859296482412056,0.07052583599220985,0.05354375662670252,96773.8,0.94323050247071,-0.022970051163487715
2019-12-27,5177.8,5205.0,5125.0,5125.6,101243.0,-0.0080123862976581,-0.008012386297658103,-0.011189134964117553,0.014889909710122051,0.06093724126511013,5111.16,0.0028251903677443124,5150.0,-0.004737864077669851,5048.04,0.015364379046124865,4937.453333333333,0.038106014166547464,0.01374279586551951,0.010633392411505783,0.01006291367476019,60.698689956331876,5048.04,5292.494851282989,4803.585148717011,0.6586387007517688,77.22857142857136,0.01506722557916563,0.014889909710122051,0.06093724126511013,0.03975981824083097,95229.2,1.0631507982845598,0.10914767747589837
2019-12-30,5099.4,5225.6,5074.6,5216.2,107890.0,0.0176759793975338,0.017675979397533848,0.03677055175703603,0.019067713827999766,0.07652618978825276,5148.16,0.013216372451516634,5159.76,0.01093849326325258,5066.58,0.029530768289457665,4943.746666666667,0.05511069876827546,0.014201204467389626,0.011126924011095553,0.009977762105998942,63.680387409200954,5066.58,5302.41737126293,4830.74262873707,0.8172101164433176,83.09999999999998,0.015931137609754224,0.019067713827999766,0.07652618978825276,0.07803910221965027,94650.2,1.1398813737319098,0.06565392175261509
2019-12-31,5221.0,5244.8,5188.4,5235.8,82370.0,0.0037575246347916,0.0037575246347916202,0.026748244891555917,0.005994696998808724,0.07414245855900226,5175.4400000000005,0.011662776498229999,5162.88,0.01412389983884954,5084.65,0.02972672652001629,4949.919999999999,0.05775446875909118,0.013256399386101512,0.011114546460905624,0.009967587966665538,66.72983216025986,5084.65,5313.7733958510435,4855.526604148956,0.829844098719332,83.54285714285717,0.01595608257436441,0.005994696998808724,0.07414245855900226,0.07612940354338815,95241.8,0.8648513572822017,-0.2365372138288998
2020-01-02,5276.6,5356.6,5253.4,5335.0,97640.0,0.0189464838229114,0.01894648382291142,0.03943420488641225,0.02293208574605976,0.09773662551440321,5215.92,0.022830104756207836,5174.839999999999,0.030949749170988916,5108.4,0.044358311800172245,4957.076666666666,0.07623915439408857,0.014471903203230798,0.011502598841316278,0.010187581269561236,71.83406113537119,5108.4,5337.948536319258,4878.851463680741,0.9935775318663824,89.51428571428576,0.016778685232293488,0.02293208574605976,0.09773662551440321,0.08753261578604032,96084.6,1.0161878178188803,0.18538302780138394
