date,open,high,low,close,volume,return,ret_1d,ret_5d,ret_10d,ret_20d,ma_5,ma_ratio_5,ma_10,ma_ratio_10,ma_20,ma_ratio_20,ma_60,ma_ratio_60,volatility_10,volatility_20,volatility_60,rsi,bb_upper,bb_mid,bb_lower,bb_position,atr,atr_ratio,momentum_10,momentum_20,momentum_60,volume_ma_5,volume_ratio,volume_change,cci,macd,macd_signal,macd_hist,williams,obv,bias_6,bias_12,bias_24,kdj_k,kdj_d,kdj_j,price_position_10,price_position_20,price_position_60,gap,gap_ratio,amplitude,amplitude_ma,amplitude_ratio,rolling_sharpe_20,rolling_sharpe_60,skew_20,kurt_20
2019-12-16,5048.8,5127.2,5041.2,5118.6,98161.0,0.0135038808807224,0.013503880880722408,0.028120355119913176,0.05638337392165771,0.06398104265402837,5029.080000000002,0.01780047245221761,4973.4,0.029195319097599315,4906.679999999999,0.04319010002690238,4919.993333333332,0.04036726337027585,0.007261545387675274,0.008117079230204627,0.00977618808318418,70.01403769058896,5081.085981548888,4906.679999999999,4732.27401845111,1.10754796973691,67.85458335232279,0.013256473127871447,0.05638337392165771,0.06398104265402837,-0.011967725746052538,90069.0,1.0898422320665269,-0.028609032973122783,143.90587856078068,44.21145426732255,16.746088384044086,27.465365883278466,-2.4293785310732923,421265.0,1.9506041694330112,3.3876109650466515,4.700896951184191,90.19297626267957,83.71356601846622,103.15179675110625,0.9736842105263175,0.9757062146892671,0.8684087727484844,-1.5999999999994543,-0.00031680658957695517,0.016801469151721173,0.013685831698152651,1.227654228276757,6.134790465860617,-0.24925278742809856,0.013059885671979935,-0.40085930516365165
2019-12-17,5122.4,5234.4,5115.8,5204.6,115982.0,0.016801469151721,0.016801469151721093,0.03826204915416542,0.0677416707697358,0.06242345064097332,5067.440000000002,0.02706692136463351,5006.42,0.0395851726383325,4921.969999999999,0.05742212975698768,4922.286666666665,0.05735410236163996,0.008095567090075403,0.007976212825400477,0.009590957676904344,74.69779959263114,5139.274294481355,4921.969999999999,4704.665705518643,1.1503092832899575,71.47925597001398,0.013733861578221953,0.0677416707697358,0.06242345064097332,0.027156108150779623,95678.2,1.2122092597895864,0.18154868022941906,177.6355748373099,59.36257778642721,25.269386264520712,34.0931915219065,-6.461405030355439,537247.0,2.891598023064264,4.468085106382986,6.092912326477375,90.79173327924792,86.07295510612438,100.229289625495,0.9252008032128531,0.9353859496964456,0.9389344262295097,3.7999999999992724,0.0007423904974014911,0.02278753410444596,0.013878037667684575,1.6419853188255435,6.094793294311084,0.8143193266825322,-0.062197937724149784,-0.4960943697360804
2019-12-18,5214.8,5255.0,5188.2,5215.4,111010.0,0.0020750874226644,0.00207508742266449,0.04546365713827516,0.0731275720164608,0.07427700420202665,5112.800000000003,0.02006728211547415,5041.96,0.03439932089901543,4939.999999999999,0.0557489878542512,4924.809999999999,0.05900532203272846,0.007575190560359221,0.007464230381443596,0.009592028944418827,75.22123897370993,5189.476860650493,4939.999999999999,4690.523139349505,1.0519549975134241,71.14502340072728,0.01364133592835205,0.0731275720164608,0.07427700420202665,0.029897314375987305,100753.4,1.10179904598753,-0.04286872100843231,170.20566981656455,71.41815800468339,34.49914061255325,36.919017392130144,-8.219178082191855,648257.0,2.4213978515740107,4.0409615320676915,5.946820738794591,90.16160394986173,87.43583805431831,95.61313574094856,0.8991339786041764,0.9178082191780814,0.9221392056626025,10.199999999999818,0.001959804788072055,0.01280822180465548,0.01393140088776822,0.9193778793560601,7.688601643949919,0.887795981008861,-0.07770709441964738,-0.07773536613363412
2019-12-19,5212.8,5232.8,5189.2,5222.0,94988.0,0.0012654829926757,0.0012654829926757039,0.049648241206030175,0.0637604400081484,0.0721471687266455,5162.200000000003,0.011584208283289543,5073.26,0.029318426416150567,4957.569999999999,0.05333863162799535,4926.716666666665,0.05993511567879928,0.007702619421893785,0.007482517250465074,0.009533942614017792,75.55406676825666,5233.15195223935,4957.569999999999,4681.9880477606475,0.9797665410439065,69.17752172924679,0.013247323195949214,0.0637604400081484,0.0721471687266455,0.02239799514449059,104238.6,0.9112555233857706,-0.1443293396991262,135.5710849914006,80.57602674542977,43.714517839128554,36.86150890630122,-7.25912890453145,743245.0,1.7735334242837655,3.574120353841878,5.684968934043039,89.76705460379472,88.2129102375841,92.87534333621599,0.9075112107623319,0.9315068493150686,0.935116004718836,-2.5999999999994543,-0.0004985236031751073,0.0083492914592111,0.013790412703368287,0.6054417397654674,7.458820351017603,0.6893939683369127,-0.034636507247867446,-0.11447766783172049
2019-12-20,5235.8,5243.2,5175.0,5183.6,108966.0,-0.0073535044044427,-0.007353504404442712,0.02637414858229059,0.04369186163572669,0.07794044252204291,5188.840000000002,-0.001009859621803999,5094.96,0.01739758506445588,4976.3099999999995,0.04165536311041729,4928.119999999998,0.05184127009894279,0.008509066027043483,0.006950642658038414,0.00958333064686441,69.688959587178,5259.739129766163,4976.3099999999995,4692.880870233836,0.8656822433371973,69.10769874858629,0.013331989109612294,0.04369186163572669,0.07794044252204291,0.016511746479978218,105821.4,1.0297161065720166,0.1471554301595992,103.81137521722445,83.76950194976962,51.72551466125677,32.04398728851285,-15.706115266167966,634279.0,0.3452214256677087,2.265508374818344,4.5790489512370725,85.22880460518608,87.2182083600268,81.24999709550465,0.7615230460921852,0.8518057285180581,0.8596146283916642,13.800000000000182,0.0026426656453466453,0.013156879388841695,0.012709777218476654,1.0351778133227287,8.638794609169203,0.5271497620725023,0.3461488424255838,-0.7193265283176501
2019-12-23,5161.4,5184.6,5029.4,5031.2,110785.0,-0.0294004166988194,-0.02940041669881943,-0.01707498144023767,0.010565219137910198,0.042130991341811974,5171.360000000002,-0.027103121809350483,5100.219999999999,-0.013532749567665592,4986.479999999999,0.008968250148401413,4927.146666666666,0.021118375476273155,0.013677728434590622,0.01016541604969808,0.010320433401772295,52.327491415091444,5262.3602174858315,4986.479999999999,4710.599782514166,0.5810496678731553,75.25714883797302,0.014958091278019761,0.010565219137910198,0.042130991341811974,-0.011474379126061085,108346.2,1.0225093265845964,0.016693280472807936,21.567375693859905,73.15960928137793,56.012333585281,17.147275696096926,-53.41288782816233,523494.0,-2.5445999083143422,-0.9401549532875889,1.391533911711661,64.01378377426845,79.4834001643007,33.07455099420392,0.25250501002003856,0.5354919053549189,0.5599685410931969,-22.200000000000728,-0.004282737865576188,0.03084751152806502,0.01360175302686963,2.267907046034963,3.3026918574549717,-0.21494344817754188,-1.3714683149945606,3.9450257210221316
2019-12-24,5048.4,5118.2,5043.8,5099.4,79412.0,0.0135554142152964,0.01355541421529649,-0.02021288859854753,0.017275774018512546,0.06144623454477327,5150.320000000002,-0.009886764317557528,5108.879999999999,-0.0018555926152110658,5001.239999999999,0.019627132471147224,4927.543333333333,0.03487674385410444,0.014144561335705547,0.010331883668058333,0.010464206957446678,57.43762667284135,5267.967294441421,5001.239999999999,4734.512705558577,0.6840081649790786,76.09592392097495,0.014922524987444593,0.017275774018512546,0.06144623454477327,0.004689100795964851,101032.2,0.7860068374241084,-0.2831881572415038,16.0711111111115,69.45374340977287,58.70061555017937,10.753127859593498,-39.63321446765161,602906.0,-1.162287360851776,0.18434779191947398,2.5553017441480472,57.603700656442626,72.19016699471715,28.430767979893574,0.4548002803083372,0.6770444167704436,0.6940621313409354,17.199999999999818,0.0034186675147081847,0.014589951759030403,0.013738019691878722,1.0620127271804176,4.666382848900002,0.2002908305189892,-1.506984079296272,4.166493766305673
2019-12-25,5105.6,5147.4,5083.4,5132.6,93426.0,0.0065105698709653,0.0065105698709653215,-0.01587605936265657,0.028865814056047823,0.062342178250610836,5133.760000000002,-0.00022595524527868616,5123.28,0.0018191471088835343,5016.299999999999,0.023184418794729433,4929.8099999999995,0.04113545958160669,0.014007593180081514,0.01034496813800217,0.010289583157561705,59.70218880092367,5276.9112046709,5016.299999999999,4755.688795329099,0.7231293166133524,75.23192935519103,0.014657664605695168,0.028865814056047823,0.062342178250610836,0.027218508585838297,97515.4,0.958064059625454,0.17647206971238605,33.43710048214465,68.40722463960083,60.641937368063665,7.7652872715371615,-34.304932735425886,696332.0,-0.28687808005385634,0.583007535004966,2.996867845837173,56.079622386934695,66.8199854586436,34.59889624351689,0.5656493967352748,0.7459526774595276,0.7593393629571381,6.200000000000728,0.0012158293132526823,0.012469313798075048,0.013543916975109463,0.9206578732718693,4.725609940073623,0.7713084221303849,-1.5136904504748876,4.158748883272998
2019-12-26,5137.8,5168.2,5099.8,5167.0,91280.0,0.0067022561664653,0.006702256166465359,-0.01053236307927996,0.03859296482412056,0.07052583599220985,5122.760000000002,0.008635969672597943,5142.48,0.0047681274404567375,5033.319999999999,0.026559010752346568,4934.186666666666,0.04718373038177193,0.013900825098056757,0.010328606232515507,0.01001302642342835,61.960570964602304,5286.508385199729,5033.319999999999,4780.131614800269,0.7639931525582158,74.74393440124878,0.014465634681875127,0.03859296482412056,0.07052583599220985,0.05354375662670252,96773.8,0.94323050247071,-0.022970051163487715,44.92564570832223,69.55189255881578,62.42392840621409,7.127964152601692,-29.39211756847031,787612.0,0.5389839083143761,1.0027953163789938,3.377560513653312,57.71738419179232,63.78578503630482,45.580582502767314,0.6623177283192637,0.8173515981735161,0.8269760125835628,5.199999999999818,0.0010131317460935624,0.013237855622217852,0.013781080132883016,0.9605818625661295,5.324494010938716,1.457279454991911,-1.6390283359270648,4.497271821246024
2019-12-27,5177.8,5205.0,5125.0,5125.6,101243.0,-0.0080123862976581,-0.008012386297658103,-0.011189134964117553,0.014889909710122051,0.06093724126511013,5111.160000000002,0.0028251903677440904,5149.999999999999,-0.004737864077669629,5048.039999999999,0.015364379046125087,4937.453333333333,0.038106014166547464,0.01374279586551951,0.010633392411505783,0.01006291367476019,57.76485350019232,5286.305116204702,5048.039999999999,4809.774883795296,0.6627598727741714,75.11936765830244,0.014655721800043396,0.014889909710122051,0.06093724126511013,0.03975981824083097,95229.2,1.0631507982845598,0.10914767747589837,42.43433222345612,66.35353389086322,63.209849503143914,3.143684387719304,-43.21977287909145,686369.0,0.04619478584489673,-0.029581278626365986,2.2953044467469903,52.692204118344634,60.0879247302734,37.90076289448709,0.4264184397163146,0.7153541575011009,0.7455760912308306,10.800000000000182,0.0020901877298239177,0.015607928827844545,0.013824599607890082,1.1289968079029693,4.5026558094736595,1.1042972763303254,-1.4342353641218692,3.3991385226987028
