date,open,high,low,close,volume,return
2019-10-28,4998.6,5003.4,4950.2,4998.4,88973.0,0.014368049354655188
2019-10-29,4981.0,4983.2,4931.2,4932.2,68831.0,-0.013244238156209898
2019-10-30,4905.4,4911.8,4863.0,4870.2,78374.0,-0.012570455374883438
2019-10-31,4881.6,4895.4,4834.0,4846.6,73242.0,-0.004845796887191334
2019-11-01,4827.0,4902.4,4820.6,4899.6,82663.0,0.010935501176082107
2019-11-04,4914.4,4946.0,4897.0,4905.8,75719.0,0.0012654094211772549
2019-11-05,4917.8,4976.8,4890.6,4946.4,91420.0,0.008275918300786778
2019-11-06,4939.2,4956.4,4868.0,4900.2,82444.0,-0.009340126152353245
2019-11-07,4890.0,4954.0,4888.6,4933.4,102054.0,0.006775233663931957
2019-11-08,4979.8,4987.6,4908.4,4913.0,100409.0,-0.004135079255685681
2019-11-11,4872.0,4873.6,4793.2,4798.2,87777.0,-0.023366578465296217
2019-11-12,4811.8,4818.8,4746.4,4800.2,94204.0,0.00041682297528233825
2019-11-13,4791.4,4804.0,4767.2,4798.6,82799.0,-0.000333319445023017
2019-11-14,4795.2,4829.2,4780.2,4808.4,96364.0,0.0020422623265117235
2019-11-15,4813.2,4845.4,4770.2,4779.4,104282.0,-0.006031112220281187
2019-11-18,4768.8,4822.6,4763.8,4810.8,78791.0,0.0065698623258150235
2019-11-19,4812.8,4903.2,4810.4,4898.8,82599.0,0.01829217593747412
2019-11-20,4893.0,4908.8,4851.8,4854.8,72858.0,-0.008981791459132804
2019-11-21,4835.6,4885.0,4830.6,4870.6,77809.0,0.00325451099942331
2019-11-22,4880.8,4954.8,4787.6,4808.8,121332.0,-0.012688375148852349
2019-11-25,4819.0,4836.8,4774.0,4827.8,80036.0,0.003951089668940311
2019-11-26,4844.6,4852.0,4795.0,4804.2,79328.0,-0.004888354944281081
2019-11-27,4799.2,4868.4,4789.4,4831.4,94270.0,0.0056617126680820196
2019-11-28,4821.0,4848.8,4807.8,4826.6,75653.0,-0.0009935008486151586
2019-11-29,4821.2,4844.4,4773.2,4831.2,92039.0,0.0009530518377325325
2019-12-02,4847.4,4871.6,4819.6,4845.4,77907.0,0.002939228349064349
2019-12-03,4829.8,4874.8,4800.4,4874.4,85899.0,0.005985057993148191
2019-12-04,4861.8,4881.6,4836.0,4860.0,83962.0,-0.002954209748892045
2019-12-05,4876.0,4926.4,4862.4,4909.0,91983.0,0.010082304526749075
2019-12-06,4906.4,4967.8,4898.2,4966.6,85193.0,0.011733550621307876
2019-12-09,4977.8,5000.4,4957.0,4978.6,84302.0,0.0024161398139572743
2019-12-10,4961.4,5024.4,4955.6,5012.8,87936.0,0.0068694010364358515
2019-12-11,5009.6,5019.8,4969.6,4988.6,85634.0,-0.004827641238429603
2019-12-12,4987.2,5010.4,4973.2,4975.0,77562.0,-0.0027262157719601943
2019-12-13,5028.6,5062.2,4994.4,5050.4,101052.0,0.015155778894472283
2019-12-16,5048.8,5127.2,5041.2,5118.6,98161.0,0.013503880880722408
2019-12-17,5122.4,5234.4,5115.8,5204.6,115982.0,0.016801469151721093
2019-12-18,5214.8,5255.0,5188.2,5215.4,111010.0,0.00207508742266449
2019-12-19,5212.8,5232.8,5189.2,5222.0,94988.0,0.0012654829926757039
2019-12-20,5235.8,5243.2,5175.0,5183.6,108966.0,-0.007353504404442712
2019-12-23,5161.4,5184.6,5029.4,5031.2,110785.0,-0.02940041669881943
2019-12-24,5048.4,5118.2,5043.8,5099.4,79412.0,0.01355541421529649
2019-12-25,5105.6,5147.4,5083.4,5132.6,93426.0,0.0065105698709653215
2019-12-26,5137.8,5168.2,5099.8,5167.0,91280.0,0.006702256166465359
2019-12-27,5177.8,5205.0,5125.0,5125.6,101243.0,-0.008012386297658103
2019-12-30,5099.4,5225.6,5074.6,5216.2,107890.0,0.017675979397533848
2019-12-31,5221.0,5244.8,5188.4,5235.8,82370.0,0.0037575246347916202
2020-01-02,5276.6,5356.6,5253.4,5335.0,97640.0,0.01894648382291142
2020-01-03,5350.6,5372.2,5330.2,5349.4,78878.0,0.002699156513589429
2020-01-06,5339.8,5467.6,5338.6,5408.8,114538.0,0.01110404905223028
2020-01-07,5442.2,5481.6,5411.4,5476.6,96886.0,0.012535127939653945
2020-01-08,5451.6,5479.6,5379.0,5408.0,116448.0,-0.012526019793302479
2020-01-09,5467.6,5474.2,5420.8,5465.8,103744.0,0.010687869822485263
2020-01-10,5482.2,5483.8,5413.6,5436.6,97294.0,-0.005342310366277525
2020-01-13,5441.8,5542.8,5399.8,5542.8,117018.0,0.019534267740867417
2020-01-14,5561.0,5564.4,5508.4,5511.2,95851.0,-0.005701089701955708
2020-01-15,5503.0,5520.0,5455.6,5498.0,106405.0,-0.0023951226593119657
2020-01-16,5509.4,5525.0,5487.2,5514.4,100092.0,0.0029829028737722307
2020-01-17,5529.6,5536.6,5463.4,5476.8,117677.0,-0.006818511533439597
2020-01-20,5489.2,5570.4,5469.6,5570.2,91751.0,0.0170537540169442
2020-01-21,5551.0,5554.0,5463.0,5484.6,105623.0,-0.015367491292951674
2020-01-22,5428.0,5572.0,5383.4,5548.4,125458.0,0.011632571199358122
2020-01-23,5483.4,5510.4,5265.4,5304.6,152178.0,-0.043940595486987144
2020-02-04,4876.2,4954.4,4827.8,4914.8,135128.0,0.03057244705388973
2020-02-05,4968.2,5086.8,4951.0,5018.0,139506.0,0.020997802555546397
2020-02-06,5011.8,5216.0,4999.8,5196.6,150949.0,0.03559186927062585
2020-02-07,5170.2,5241.2,5139.2,5240.0,137111.0,0.008351614517184247
2020-02-10,5215.4,5356.4,5195.0,5259.2,119990.0,0.003664122137404524
2020-02-11,5282.8,5287.8,5223.0,5254.8,111478.0,-0.0008366291451170627
2020-02-12,5253.8,5368.0,5253.2,5368.0,121514.0,0.021542209027936243
2020-02-13,5368.0,5384.2,5307.0,5326.0,127027.0,-0.007824143070044753
2020-02-14,5334.6,5393.8,5304.6,5347.8,128129.0,0.004093128051070316
2020-02-17,5394.6,5559.0,5391.4,5556.0,135620.0,0.03893189722876689
2020-02-18,5562.8,5595.8,5506.8,5568.4,145492.0,0.002231821454283578
2020-02-19,5565.4,5594.0,5528.8,5541.8,125260.0,-0.004776955678471251
2020-02-20,5562.8,5662.0,5511.4,5633.4,157626.0,0.016528925619834656
2020-02-21,5644.6,5754.2,5640.0,5730.8,159652.0,0.017289736216139495
2020-02-24,5725.2,5800.6,5656.4,5757.4,146713.0,0.0046415858169888136
2020-02-25,5729.6,5820.8,5571.2,5807.4,203357.0,0.008684475631361321
2020-02-26,5742.4,5766.4,5635.8,5666.0,204206.0,-0.024348245342149633
2020-02-27,5699.4,5714.8,5620.0,5659.6,162802.0,-0.0011295446523119645
2020-02-28,5516.2,5555.0,5313.0,5327.8,218845.0,-0.0586260513110467
2020-03-02,5445.2,5598.4,5416.2,5542.0,181765.0,0.04020421186981493
2020-03-03,5657.2,5725.0,5538.8,5560.6,179794.0,0.0033561891014075584
2020-03-04,5582.4,5615.0,5478.4,5596.0,157430.0,0.006366219472718759
2020-03-05,5678.0,5697.0,5589.4,5662.4,166969.0,0.011865618298784852
2020-03-06,5622.8,5652.6,5589.0,5609.8,140347.0,-0.009289347273240933
2020-03-09,5511.0,5529.0,5352.6,5380.0,175064.0,-0.04096402723804771
2020-03-10,5486.8,5572.4,5327.0,5563.6,213847.0,0.03412639405204465
2020-03-11,5553.2,5579.8,5443.4,5443.4,158059.0,-0.021604716370695387
2020-03-12,5392.2,5408.8,5295.8,5395.4,169518.0,-0.008818018150420714
2020-03-13,5159.8,5410.4,5102.6,5368.8,223362.0,-0.004930125662601426
2020-03-16,5345.6,5349.2,5045.6,5059.6,190416.0,-0.05759201311279982
2020-03-17,5143.8,5160.2,4962.4,5072.2,212147.0,0.0024903154399555927
2020-03-18,5109.2,5208.6,4954.4,4963.0,218015.0,-0.021529119514214656
2020-03-19,5008.4,5069.0,4880.6,5030.4,238473.0,0.013580495667942616
2020-03-20,5080.6,5107.6,4986.4,5082.0,191920.0,0.010257633587786419
2020-03-23,4940.2,4990.0,4852.8,4885.0,166665.0,-0.038764266036993344
2020-03-24,4960.6,5007.4,4854.4,4953.2,185248.0,0.013961105424769693
