date,open,high,low,close,volume,return,ret_1d,ret_5d,ret_10d,ret_20d,ma_5,ma_ratio_5,ma_10,ma_ratio_10,ma_20,ma_ratio_20,ma_60,ma_ratio_60,volatility_10,volatility_20,volatility_60,rsi,bb_mid,bb_upper,bb_lower,bb_position,atr,atr_ratio,momentum_10,momentum_20,momentum_60,volume_ma_5,volume_ratio,volume_change,pred_prob,pred_signal
2019-12-16,5048.8,5127.2,5041.2,5118.6,98161.0,0.0135038808807224,0.0135038808807224,0.0281203551199131,0.0563833739216577,0.0639810426540283,5029.08,0.017800472452218,4973.4,0.0291953190975993,4906.679999999999,0.0431901000269023,4919.993333333334,0.0403672633702756,0.0072615453876752,0.0081170792302046,0.0097761880831841,86.69467787114863,4906.679999999999,5085.616761543228,4727.743238456771,1.092164511563501,62.28571428571422,0.0121685058972598,0.0563833739216577,0.0639810426540283,-0.0119677257460525,90069.0,1.0898422320665269,-0.0286090329731227,0.83919144,1
2019-12-17,5122.4,5234.4,5115.8,5204.6,115982.0,0.016801469151721,0.016801469151721,0.0382620491541654,0.0677416707697358,0.0624234506409733,5067.4400000000005,0.0270669213646337,5006.42,0.0395851726383325,4921.97,0.0574221297569874,4922.286666666667,0.0573541023616395,0.0080955670900754,0.0079762128254004,0.0095909576769043,88.3004926108376,4921.97,5144.9195019529125,4699.020498047088,1.1338430844750051,65.11428571428561,0.0125109106779167,0.0677416707697358,0.0624234506409733,0.0271561081507796,95678.2,1.2122092597895864,0.181548680229419,0.7801143,1
2019-12-18,5214.8,5255.0,5188.2,5215.4,111010.0,0.0020750874226644,0.0020750874226644,0.0454636571382751,0.0731275720164608,0.0742770042020266,5112.8,0.0200672821154748,5041.960000000001,0.0343993208990152,4940.0,0.0557489878542509,4924.81,0.059005322032728,0.0075751905603592,0.0074642303814435,0.0095920289444188,89.4160583941606,4940.0,5195.957858373516,4684.042141626484,1.0379791848354043,66.95714285714277,0.0128383523521,0.0731275720164608,0.0742770042020266,0.0298973143759873,100753.4,1.10179904598753,-0.0428687210084323,0.7459179,1
2019-12-19,5212.8,5232.8,5189.2,5222.0,94988.0,0.0012654829926757,0.0012654829926757,0.0496482412060301,0.0637604400081484,0.0721471687266455,5162.2,0.0115842082832902,5073.26,0.0293184264161505,4957.57,0.0533386316279951,4926.716666666666,0.059935115678799,0.0077026194218937,0.007482517250465,0.0095339426140177,89.45880452342492,4957.57,5240.31111722284,4674.828882777159,0.9676185809076926,64.98571428571424,0.0124446025058817,0.0637604400081484,0.0721471687266455,0.0223979951444905,104238.6,0.9112555233857706,-0.1443293396991262,0.24894074,0
2019-12-20,5235.8,5243.2,5175.0,5183.6,108966.0,-0.0073535044044427,-0.0073535044044427,0.0263741485822905,0.0436918616357266,0.0779404425220429,5188.84,-0.0010098596218036,5094.96,0.0173975850644558,4976.31,0.0416553631104172,4928.12,0.0518412700989425,0.0085090660270434,0.0069506426580384,0.0095833306468644,82.55679630342712,4976.31,5267.102151490406,4685.517848509593,0.8564229621356194,66.14285714285708,0.0127600233704099,0.0436918616357266,0.0779404425220429,0.0165117464799782,105821.4,1.0297161065720166,0.1471554301595992,0.31707156,0
2019-12-23,5161.4,5184.6,5029.4,5031.2,110785.0,-0.0294004166988194,-0.0294004166988194,-0.0170749814402376,0.0105652191379101,0.0421309913418119,5171.360000000001,-0.0271031218093501,5100.219999999999,-0.0135327495676655,4986.48,0.0089682501484014,4927.1466666666665,0.0211183754762729,0.0136777284345906,0.010165416049698,0.0103204334017722,62.19663970130679,4986.48,5269.527130908949,4703.43286909105,0.5789974444474862,71.91428571428567,0.0142936646752833,0.0105652191379101,0.0421309913418119,-0.011474379126061,108346.2,1.0225093265845964,0.0166932804728079,0.8640961,1
2019-12-24,5048.4,5118.2,5043.8,5099.4,79412.0,0.0135554142152964,0.0135554142152964,-0.0202128885985475,0.0172757740185125,0.0614462345447732,5150.32,-0.0098867643175569,5108.88,-0.0018555926152112,5001.24,0.0196271324711472,4927.543333333334,0.0348767438541042,0.0141445613357055,0.0103318836680583,0.0104642069574466,67.1834625322997,5001.24,5274.89643000706,4727.583569992939,0.6793489741817272,74.8714285714285,0.0146823996100381,0.0172757740185125,0.0614462345447732,0.0046891007959648,101032.2,0.7860068374241084,-0.2831881572415038,0.8306086,1
2019-12-25,5105.6,5147.4,5083.4,5132.6,93426.0,0.0065105698709653,0.0065105698709653,-0.0158760593626565,0.0288658140560478,0.0623421782506108,5133.76,-0.0002259552452782,5123.28,0.0018191471088835,5016.3,0.0231844187947292,4929.81,0.0411354595816066,0.0140075931800815,0.0103449681380021,0.0102895831575617,66.42185663924795,5016.3,5283.68145430314,4748.918545696861,0.7174795561328403,74.69999999999995,0.0145540271986907,0.0288658140560478,0.0623421782506108,0.0272185085858382,97515.4,0.958064059625454,0.176472069712386,0.6734927,1
2019-12-26,5137.8,5168.2,5099.8,5167.0,91280.0,0.0067022561664653,0.0067022561664653,-0.0105323630792799,0.0385929648241205,0.0705258359922098,5122.76,0.0086359696725983,5142.48,0.0047681274404567,5033.32,0.0265590107523463,4934.1866666666665,0.0471837303817719,0.0139008250980567,0.0103286062325155,0.0100130264234283,65.23722627737223,5033.32,5293.085802214222,4773.554197785777,0.7573086966423659,74.61428571428561,0.0144405430064419,0.0385929648241205,0.0705258359922098,0.0535437566267025,96773.8,0.94323050247071,-0.0229700511634877,0.49596974,0
2019-12-27,5177.8,5205.0,5125.0,5125.6,101243.0,-0.0080123862976581,-0.0080123862976581,-0.0111891349641175,0.014889909710122,0.0609372412651101,5111.16,0.0028251903677443,5150.0,-0.0047378640776698,5048.04,0.0153643790461248,4937.453333333333,0.0381060141665474,0.0137427958655195,0.0106333924115057,0.0100629136747601,60.69868995633188,5048.04,5292.494851282989,4803.585148717011,0.6586387007517688,77.22857142857136,0.0150672255791656,0.014889909710122,0.0609372412651101,0.0397598182408309,95229.2,1.0631507982845598,0.1091476774758983,0.8813558,1
2019-12-30,5099.4,5225.6,5074.6,5216.2,107890.0,0.0176759793975338,0.0176759793975338,0.036770551757036,0.0190677138279997,0.0765261897882527,5148.16,0.0132163724515166,5159.76,0.0109384932632525,5066.58,0.0295307682894576,4943.746666666667,0.0551106987682754,0.0142012044673896,0.0111269240110955,0.0099777621059989,63.68038740920096,5066.58,5302.41737126293,4830.74262873707,0.8172101164433176,83.09999999999998,0.0159311376097542,0.0190677138279997,0.0765261897882527,0.0780391022196502,94650.2,1.1398813737319098,0.065653921752615,0.8351698,1
2019-12-31,5221.0,5244.8,5188.4,5235.8,82370.0,0.0037575246347916,0.0037575246347916,0.0267482448915559,0.0059946969988087,0.0741424585590022,5175.4400000000005,0.0116627764982299,5162.88,0.0141238998388495,5084.65,0.0297267265200162,4949.919999999999,0.0577544687590911,0.0132563993861015,0.0111145464609056,0.0099675879666655,66.72983216025986,5084.65,5313.773395851044,4855.526604148956,0.829844098719332,83.54285714285717,0.0159560825743644,0.0059946969988087,0.0741424585590022,0.0761294035433881,95241.8,0.8648513572822017,-0.2365372138288998,0.77626383,1
2020-01-02,5276.6,5356.6,5253.4,5335.0,97640.0,0.0189464838229114,0.0189464838229114,0.0394342048864122,0.0229320857460597,0.0977366255144032,5215.92,0.0228301047562078,5174.839999999999,0.0309497491709889,5108.4,0.0443583118001722,4957.076666666666,0.0762391543940885,0.0144719032032307,0.0115025988413162,0.0101875812695612,71.83406113537119,5108.4,5337.948536319258,4878.851463680741,0.9935775318663824,89.51428571428576,0.0167786852322934,0.0229320857460597,0.0977366255144032,0.0875326157860403,96084.6,1.0161878178188803,0.1853830278013839,0.88297427,1
2020-01-03,5350.6,5372.2,5330.2,5349.4,78878.0,0.0026991565135894,0.0026991565135894,0.0353009483259143,0.024396782841823,0.0897127724587492,5252.4,0.0184677480770696,5187.58,0.0311937358074476,5130.42,0.0426826653568324,4963.4766666666665,0.0777526236649981,0.0144669038625418,0.0114403125565266,0.0100912302568957,69.58344249410533,5130.42,5363.889282099827,4896.950717900173,0.968969617824001,86.28571428571435,0.0161299798642304,0.024396782841823,0.0897127724587492,0.0773351593023723,93604.2,0.8426758628352147,-0.1921548545678001,0.7969829,1
2020-01-06,5339.8,5467.6,5338.6,5408.8,114538.0,0.0111040490522302,0.0111040490522302,0.0552520680505697,0.0434447102399875,0.0890347521443239,5309.04,0.0187905911426549,5210.1,0.0381374637722884,5152.530000000001,0.0497367312757033,4970.323333333333,0.0882189421613752,0.0142446576807263,0.0114198274689456,0.0101482755457956,69.22873045322025,5152.530000000001,5403.756021950875,4901.303978049126,1.010038725307905,89.35714285714292,0.0165206964312126,0.0434447102399875,0.0890347521443239,0.0821928771508604,96263.2,1.1898420164715071,0.4520905702477242,0.7917151,1
2020-01-07,5442.2,5481.6,5411.4,5476.6,96886.0,0.0125351279396539,0.0125351279396539,0.0499213987193742,0.0885275878518048,0.1000281203551198,5361.12,0.0215402751663831,5254.64,0.042240762449949,5177.43,0.0577834948999793,4977.543333333334,0.1002616417871467,0.0080132886431308,0.0115536696769383,0.0102023897527964,68.46822379141773,5177.43,5453.554861916523,4901.305138083478,1.0417295601770993,86.0857142857144,0.0157188245052978,0.0885275878518048,0.1000281203551198,0.0858944362929772,94062.4,1.03001837078365,-0.1541147915975483,0.23626623,0
2020-01-08,5451.6,5479.6,5379.0,5408.0,116448.0,-0.0125260197933024,-0.0125260197933024,0.032888956797433,0.0605169235596345,0.0788381742738588,5395.56,0.0023055994187815,5285.5,0.0231766152681864,5197.1900000000005,0.0405623038603553,4984.530000000001,0.0849568565140543,0.0101592911159643,0.0121719742001318,0.0102392845171657,62.12540921682198,5197.1900000000005,5480.186670242635,4914.193329757366,0.8724602127283972,88.50000000000013,0.0163646449704142,0.0605169235596345,0.0788381742738588,0.0840282232200126,100878.0,1.1543448521977042,0.2019073963214499,0.80548674,1
2020-01-09,5467.6,5474.2,5420.8,5465.8,103744.0,0.0106878698224852,0.0106878698224852,0.0245173383317713,0.0649183649612281,0.0956581004690695,5421.719999999999,0.0081302612455089,5318.820000000001,0.0276339488833987,5221.05,0.0468775437890844,4993.113333333333,0.0946677223429071,0.0102706624396479,0.0120824246217061,0.0102388465889352,64.41920984149516,5221.05,5510.393849352102,4931.7061506478985,0.922939697090579,90.1142857142858,0.0164869343397646,0.0649183649612281,0.0956581004690695,0.1040235921467238,102098.8,1.0161138034923034,-0.1090959054685353,0.26676893,0
2020-01-10,5482.2,5483.8,5413.6,5436.6,97294.0,-0.0053423103662775,-0.0053423103662775,0.0163008935581561,0.0521772788852332,0.09278391959799,5439.16,-0.0004706609108758,5345.780000000001,0.0169891016839449,5244.13,0.0367019886997461,5001.443333333333,0.0870062175385373,0.010911900561931,0.0121802236700805,0.0102628211649399,65.12795981822529,5244.13,5524.331740105038,4963.928259894962,0.8434489734572131,90.25714285714297,0.016601762656282,0.0521772788852332,0.09278391959799,0.1012396694214876,105782.0,0.9197595053978938,-0.062172270203578,0.7045809,1
2020-01-13,5441.8,5542.8,5399.8,5542.8,117018.0,0.0195342677408674,0.0195342677408674,0.0247744416506434,0.0813953488372092,0.0974972279423413,5465.96,0.014057914803621,5387.5,0.0288259860788864,5268.75,0.0520142348754448,5013.003333333332,0.1056844832206378,0.0106940416779576,0.0124185231480903,0.010196351503566,82.37974683544306,5268.75,5563.434984347687,4974.065015652313,0.9649880627725842,89.38571428571433,0.0161264549119063,0.0813953488372092,0.0974972279423413,0.1430339024993814,106278.0,1.1010557217862589,0.2027257590396118,0.30334744,0
2020-01-14,5561.0,5564.4,5508.4,5511.2,95851.0,-0.0057010897019557,-0.0057010897019557,0.0063177884088667,0.0565545799624247,0.0767006603368107,5472.88,0.0070017979564689,5417.0,0.0173896990954403,5288.38,0.0421338859915512,5023.916666666667,0.0969927181647782,0.0108749003083182,0.0124473420403537,0.0102479432522156,77.32943987257764,5288.38,5593.085770763925,4983.674229236075,0.8656314080323614,87.1714285714286,0.0158171411981834,0.0565545799624247,0.0767006603368107,0.1348323861296434,106071.0,0.9036494423546492,-0.1808867011912697,0.35033643,0
2020-01-15,5503.0,5520.0,5455.6,5498.0,106405.0,-0.0023951226593119,-0.0023951226593119,0.0166420118343195,0.0500783070399939,0.0563732083157206,5490.88,0.0012966956116322,5443.219999999999,0.0100638960027337,5303.05,0.0367618634559356,5033.723333333332,0.092233250801097,0.0111591399328622,0.0121260377280547,0.0101986107628898,74.9113716934824,5303.05,5618.822706396957,4987.277293603043,0.8086872235166025,87.20000000000002,0.0158603128410331,0.0500783070399939,0.0563732083157206,0.1198468306990385,104062.4,1.0225114931041377,0.1101083974084777,0.61567366,1
2020-01-16,5509.4,5525.0,5487.2,5514.4,100092.0,0.0029829028737722,0.0029829028737722,0.0088916535548317,0.0336269915651359,0.0573302143651492,5500.6,0.0025088172199394,5461.16,0.0097488445678206,5318.0,0.0369311771342608,5044.360000000001,0.0931812955459163,0.0100186346766691,0.0121248176780737,0.0101344759998863,74.28012300810734,5318.0,5644.432119162695,4991.567880837305,0.8008282403456033,85.01428571428576,0.0154167789268616,0.0336269915651359,0.0573302143651492,0.1308806037488208,103332.0,0.9686447567065382,-0.0593299187068276,0.2806917,0
2020-01-17,5529.6,5536.6,5463.4,5476.8,117677.0,-0.0068185115334395,-0.0068185115334395,0.0073943273369385,0.0238157550379483,0.0487935656836462,5508.64,-0.005780011037207,5473.9,0.0005297868064817,5330.74,0.0273995730423919,5054.323333333334,0.0835871864153261,0.0105273392986407,0.0123140861402132,0.0101981126317259,74.67678471051153,5330.74,5661.2596699298265,5000.220330070173,0.7209550796644125,84.52857142857154,0.0154339343099203,0.0238157550379483,0.0487935656836462,0.1225251076040172,107408.6,1.0956012833236817,0.1756883667026336,0.72394216,1
2020-01-20,5489.2,5570.4,5469.6,5570.2,91751.0,0.0170537540169442,0.0170537540169442,0.0049433499314426,0.029840260316521,0.0745813720194459,5514.12,0.0101702538210992,5490.04,0.0146009865137595,5350.07,0.0411452560433789,5065.033333333334,0.0997360991372218,0.0112189483144478,0.0124986855755303,0.0103324231120086,74.77603583426654,5350.07,5689.457492248509,5010.68250775149,0.82430482122602,80.94285714285719,0.0145314094902978,0.029840260316521,0.0745813720194459,0.1304083123630164,102355.2,0.8963980335146627,-0.220314929850353,0.3067466,0
2020-01-21,5551.0,5554.0,5463.0,5484.6,105623.0,-0.0153674912929516,-0.0153674912929516,-0.0048265350558861,0.0014607603257494,0.0901176657656226,5508.8,-0.0043929712460063,5490.84,-0.0011364381406123,5372.74,0.0208199168394525,5073.136666666667,0.0811062978131214,0.0120251325616845,0.0108260002690203,0.0104464007404558,65.94054331112252,5372.74,5681.6481103363485,5063.831889663651,0.6810570785567979,84.57142857142857,0.0154197988133006,0.0014607603257494,0.0901176657656226,0.0972711267605634,104309.6,1.0125913626358456,0.1511918126232956,0.87869847,1
2020-01-22,5428.0,5572.0,5383.4,5548.4,125458.0,0.0116325711993581,0.0116325711993581,0.0091669698072025,0.0259615384615383,0.0880495744597402,5518.88,0.005348911373322,5504.88,0.0079057127494148,5395.19,0.0283975170475923,5083.406666666667,0.0914727787533555,0.0116012434272707,0.0107484801174776,0.0103403071272819,64.32214765100673,5395.19,5685.136157615139,5105.24384238486,0.7642042254675494,89.41428571428573,0.016115327970998,0.0259615384615383,0.0880495744597402,0.124934106483922,108120.2,1.160356714101528,0.1877905380456908,0.29306388,0
